dataset_ind,title,distortion
0,30 uniform,1.0494506983902003
0,30 uniform,1.0032752710636959
0,30 uniform,1.0898655551493897
0,30 uniform,1.0062795633017434
0,30 uniform,1.0066651182961182
0,30 uniform,1.335591351575346
0,30 uniform,1.050183206432032
0,30 uniform,1.0051434536267887
0,30 uniform,1.1842272161732357
0,30 uniform,1.0748871387749463
0,30 uniform,1.2650745708662445
0,30 uniform,1.019155988572433
0,30 uniform,1.0430885130584948
0,30 uniform,1.3031894212793076
0,30 uniform,1.1332907639733394
0,30 uniform,1.0663007576854553
0,30 uniform,1.0913692012689271
0,30 uniform,1.093871840729467
0,30 uniform,1.033615035645634
0,30 uniform,1.2505465434632688
0,30 uniform,1.0989428534288777
0,30 uniform,1.1328708738767757
0,30 uniform,1.348565919480254
0,30 uniform,1.0595409573255108
0,30 uniform,1.0849535177261693
0,30 uniform,1.0253476720304031
0,30 uniform,1.0276360686530888
0,30 uniform,1.03574008442542
0,30 uniform,1.056699777426888
0,30 uniform,1.1021579656304517
0,30 uniform,1.0057478305986773
0,30 uniform,1.0157047126068763
0,30 uniform,1.0985927675140414
0,30 uniform,1.191687677512587
0,30 uniform,1.008379745225263
0,30 uniform,1.030493096633112
0,30 uniform,1.3709919382921456
0,30 uniform,1.0600246540407898
0,30 uniform,1.1095966792734857
0,30 uniform,1.103712091419245
0,30 uniform,1.2632282719711192
0,30 uniform,1.0229854667694553
0,30 uniform,1.0667087385269627
0,30 uniform,1.098892286173838
0,30 uniform,1.111514129714829
0,30 uniform,1.1043794368149487
0,30 uniform,1.3937356978606539
0,30 uniform,1.0622183871012565
0,30 uniform,1.1337888623513541
0,30 uniform,1.2589950390808065
0,30 uniform,1.147774754122455
0,30 uniform,1.0632256359356063
0,30 uniform,1.1806345075362004
0,30 uniform,1.0292655146157719
0,30 uniform,1.2201761988879127
0,30 uniform,1.4724629601872947
0,30 uniform,1.2016422259097985
0,30 uniform,1.079440071811702
0,30 uniform,1.0254962342135372
0,30 uniform,1.4464012734082006
0,30 uniform,1.4286179495251383
0,30 uniform,1.0251964200175694
0,30 uniform,1.0143667064304336
0,30 uniform,1.1055772277299414
0,30 uniform,1.0323188018227065
0,30 uniform,1.325358234288439
0,30 uniform,1.1694930172779632
0,30 uniform,1.1723921652124007
0,30 uniform,1.0838829021970078
0,30 uniform,1.1616972180303922
0,30 uniform,1.0126157728112564
0,30 uniform,1.1907721683009838
0,30 uniform,1.1043005579757132
0,30 uniform,1.0025691700690118
0,30 uniform,1.1531305719372298
0,30 uniform,1.5192792337166412
0,30 uniform,1.1126230909167991
0,30 uniform,1.0824459539229065
0,30 uniform,1.1255091420809678
0,30 uniform,1.1958869534909558
0,30 uniform,1.0274887514764248
0,30 uniform,1.0857875911357562
0,30 uniform,1.0018479017743023
0,30 uniform,1.0078260761059963
0,30 uniform,1.153137067579292
0,30 uniform,1.110851817196559
0,30 uniform,1.0178236135292449
0,30 uniform,1.1963936680511462
0,30 uniform,1.1578686119200503
0,30 uniform,1.124048568663072
0,30 uniform,1.013926691691971
0,30 uniform,1.014154170591508
0,30 uniform,1.012356863364773
0,30 uniform,1.0190486442268736
0,30 uniform,1.4227672275283028
0,30 uniform,1.047825510502427
0,30 uniform,1.1403284688654374
0,30 uniform,1.3386668236863073
0,30 uniform,1.0828270079871023
0,30 uniform,1.0295852349614696
0,30 uniform,1.0028521097822238
0,30 uniform,1.1438470743939841
0,30 uniform,1.483190150452393
0,30 uniform,1.2929997186133535
0,30 uniform,1.5449755582947362
0,30 uniform,1.3166672909444188
0,30 uniform,1.0108066681422194
0,30 uniform,1.2500213417888253
0,30 uniform,1.0617313543648816
0,30 uniform,1.281367467416319
0,30 uniform,1.2600487011099617
0,30 uniform,1.0939033122666568
0,30 uniform,1.1056152319537615
0,30 uniform,1.0565511382297348
0,30 uniform,1.1343074038748346
0,30 uniform,1.0351029327392125
0,30 uniform,1.4718877990157533
0,30 uniform,1.3373271237643585
0,30 uniform,1.2441770890903798
0,30 uniform,1.1118595143791368
0,30 uniform,1.0132517290196457
0,30 uniform,1.0203357377388464
0,30 uniform,1.1571636022783898
0,30 uniform,1.2672939731809245
0,30 uniform,1.1675901916407472
0,30 uniform,1.1069584225102829
0,30 uniform,1.0009447494116923
0,30 uniform,1.0071567336771587
0,30 uniform,1.2196733771329142
0,30 uniform,1.0861206589021033
0,30 uniform,1.0080559470868207
0,30 uniform,1.0525741873914023
0,30 uniform,1.417724113454441
0,30 uniform,1.0200248645761532
0,30 uniform,1.0038631442071488
0,30 uniform,1.419479850744955
0,30 uniform,1.5130515271533331
0,30 uniform,1.0317149791553513
0,30 uniform,1.110098074937247
0,30 uniform,1.0820228389830142
0,30 uniform,1.1148418502319888
0,30 uniform,1.4333251905657938
0,30 uniform,1.3277343674257238
0,30 uniform,1.317278129051429
0,30 uniform,1.0279983443933154
0,30 uniform,1.0767592214813895
0,30 uniform,1.0121106890325346
0,30 uniform,1.0382479811968026
0,30 uniform,1.083166321078514
0,30 uniform,1.4455266822973252
0,30 uniform,1.0614681069126413
0,30 uniform,1.0732246670787555
0,30 uniform,1.2230762776286392
0,30 uniform,1.0171478094662483
0,30 uniform,1.0374455542785328
0,30 uniform,1.0575285556009026
0,30 uniform,1.5707363763465965
0,30 uniform,1.1384772627199164
0,30 uniform,1.111274956167306
0,30 uniform,1.036997938095852
0,30 uniform,1.361567413876692
0,30 uniform,1.157233914958245
0,30 uniform,1.0297416460080953
0,30 uniform,1.0766378990434373
0,30 uniform,1.0743222932858145
0,30 uniform,1.271117000971432
0,30 uniform,1.1404517288626637
0,30 uniform,1.0051241838878167
0,30 uniform,1.0185494334195084
0,30 uniform,1.5492737230211173
0,30 uniform,1.0361868188472922
0,30 uniform,1.017534497141305
0,30 uniform,1.0035907817612444
0,30 uniform,1.0447544600661012
0,30 uniform,1.2064201495184208
0,30 uniform,1.2156814773350784
0,30 uniform,1.0741852219171122
0,30 uniform,1.0395084676291513
0,30 uniform,1.1131431916608496
0,30 uniform,1.0968611141132139
0,30 uniform,1.0391950644477241
0,30 uniform,1.33581578907377
0,30 uniform,1.1376660709602857
0,30 uniform,1.0517674840455753
0,30 uniform,1.0889013247992012
0,30 uniform,1.1298109972804284
0,30 uniform,1.1979591840630672
0,30 uniform,1.1057624870041602
0,30 uniform,1.416098014786543
0,30 uniform,1.010464287936328
0,30 uniform,1.2074539674083733
0,30 uniform,1.003406729020334
0,30 uniform,1.0331429935952317
0,30 uniform,1.2064878161930832
0,30 uniform,1.1857481034598145
0,30 uniform,1.398856196548881
0,30 uniform,1.0085830159267004
0,30 uniform,1.0405135736183506
0,30 uniform,1.1779391771135665
