,func,n,d,dataset_num,title,optimal,mean,optimal_sc,mean_sc,distortion,n_clusters,noise,weights
36,random,10,3,0,func-random_n-10_d-3,"[0.38126107222246275, 0.2833660930155233, 0.33537283476276064]","[0.4026087127341924, 0.24854180948265375, 0.34884947778315395]",3.396449941922285,3.5109149015251155,1.0337013533424981,,,
37,random,10,3,0,func-random_n-10_d-3,"[0.34702161565212886, 0.26132063682156786, 0.391657748230956]","[0.29602064680147755, 0.2639648025556837, 0.44001455064283873]",4.606503768802199,4.693858855966428,1.0189634246596837,,,
38,random,10,3,0,func-random_n-10_d-3,"[0.3289490053067387, 0.33392483044446813, 0.33712616447582344]","[0.37378974127546466, 0.3127913566894416, 0.3134189020350937]",3.780134094504209,3.9131366379426624,1.0351846098877342,,,
39,random,10,3,0,func-random_n-10_d-3,"[0.3502364175347566, 0.2838121951671224, 0.36595138729976345]","[0.3026986467552842, 0.31301227735446846, 0.3842890758902474]",5.279138901979532,5.350544305510321,1.0135259565729582,,,
40,random,10,3,0,func-random_n-10_d-3,"[0.37215853065755927, 0.2716602285440599, 0.3561812408029156]","[0.32724608437036806, 0.2910215763432172, 0.38173233928641476]",5.290043695418133,5.353733644565931,1.0120395884825983,,,
41,random,10,3,0,func-random_n-10_d-3,"[0.47731562796736987, 0.3087041055921448, 0.2139802664428066]","[0.4671421159879302, 0.28872163592105055, 0.24413624809101925]",5.110352390612894,5.15884968230251,1.0094900092953862,,,
42,random,10,3,0,func-random_n-10_d-3,"[0.24588590171321867, 0.3627937583977373, 0.3913203406281727]","[0.29426139018903047, 0.330494336202388, 0.3752442736085816]",4.269441467891099,4.324711732951625,1.01294554931276,,,
43,random,10,3,0,func-random_n-10_d-3,"[0.3677043636242439, 0.348559901893899, 0.2837357345640547]","[0.3841304573350703, 0.3359656470630667, 0.279903895601863]",3.246569144790814,3.2536368193835274,1.0021769672160081,,,
44,random,10,3,0,func-random_n-10_d-3,"[0.36112766371997906, 0.3299575306185493, 0.30891480570313323]","[0.36896806963001016, 0.35511424831140864, 0.27591768205858114]",2.5068876881750026,2.607908325812146,1.0402972331443718,,,
45,random,10,3,0,func-random_n-10_d-3,"[0.357292863074243, 0.34547352439397305, 0.2972336125340301]","[0.32314785165966636, 0.3872564352800597, 0.28959571306027393]",4.1564419666318395,4.229964600734488,1.0176888393228853,,,
46,random,10,3,0,func-random_n-10_d-3,"[0.3358887962605521, 0.35938799377660036, 0.3047232100122489]","[0.3216671906321945, 0.3414753692421698, 0.33685744012563573]",3.9879005564331638,4.064290564247348,1.0191554445085031,,,
47,random,10,3,0,func-random_n-10_d-3,"[0.35213071400401097, 0.36194548705298596, 0.2859237989454942]","[0.3907091350679814, 0.3420201455759861, 0.2672707193560325]",3.8644937928536813,3.9278132663138488,1.0163849334102333,,,
48,random,10,3,0,func-random_n-10_d-3,"[0.18974820168812231, 0.40989289129509787, 0.40035890701743965]","[0.24228170983995007, 0.3597531462858211, 0.39796514387422877]",5.119466706082634,5.287904223041543,1.0329013795047797,,,
49,random,10,3,0,func-random_n-10_d-3,"[0.3624257087049369, 0.2702954028944365, 0.36727888840113854]","[0.3574323499046366, 0.26098429105686005, 0.3815833590385033]",3.8223475815910835,3.8223475815921084,1.0000000000002682,,,
50,random,10,3,0,func-random_n-10_d-3,"[0.312482826849921, 0.34551406845107274, 0.3420031046996611]","[0.3631694202912891, 0.3316279478488998, 0.30520263185981106]",3.5168654287380274,3.63118058927419,1.0325048435467667,,,
51,random,10,3,0,func-random_n-10_d-3,"[0.25161945824238163, 0.4436969038266949, 0.3046836379743243]","[0.2809827608410903, 0.4071694289501859, 0.31184781020872376]",3.4936938053070308,3.578259782270112,1.0242053201212489,,,
52,random,10,3,0,func-random_n-10_d-3,"[0.3243624741356103, 0.25019383358392794, 0.42544369229034007]","[0.3299712713407033, 0.2803122299889066, 0.3897164986703901]",4.413916151497736,4.458288820003046,1.010052902452679,,,
53,random,10,3,0,func-random_n-10_d-3,"[0.30205817481445096, 0.37456461051122125, 0.32337721497563765]","[0.33433296552651787, 0.34301938324986125, 0.3226476512236209]",4.600588717060703,4.6702169678003695,1.0151346392868066,,,
54,random,10,3,0,func-random_n-10_d-3,"[0.3645474433620149, 0.2924108986018395, 0.34304165804558223]","[0.2962830220545453, 0.3642803465871764, 0.3394366313582783]",4.238694325424461,4.380231494861807,1.033391690594054,,,
55,random,10,3,0,func-random_n-10_d-3,"[0.41635239423965326, 0.28904291612844935, 0.294604689681596]","[0.38128887563897074, 0.2919589397378367, 0.32675218462319255]",5.028356312602062,5.094228526636308,1.0131001484260687,,,
56,random,10,3,0,func-random_n-10_d-3,"[0.5422337377933996, 0.20492939904237006, 0.2528368644739672]","[0.42907571348505646, 0.28078187849697384, 0.2901424080179698]",4.14663079345355,4.388085869297645,1.058229219786167,,,
57,random,10,3,0,func-random_n-10_d-3,"[0.3981777030680891, 0.22216500726883956, 0.37965728966420703]","[0.34349015677376504, 0.27656643074019943, 0.3799434124860354]",4.84716662223783,4.954942041357809,1.0222347254632278,,,
58,random,10,3,0,func-random_n-10_d-3,"[0.4476975459455574, 0.2351634688724385, 0.31713898707084]","[0.43095337112906007, 0.23080307831353722, 0.33824355055740274]",3.058219881612531,3.0957909215933412,1.0122852644463876,,,
59,random,10,3,0,func-random_n-10_d-3,"[0.335008823664274, 0.28414228146245674, 0.38084889487355944]","[0.32020973168184863, 0.31780447776642895, 0.36198579055172253]",4.760434973758866,4.827545920489551,1.0140976501308439,,,
60,random,10,3,0,func-random_n-10_d-3,"[0.4002480350360131, 0.2813081825709077, 0.31844378240541327]","[0.39244062354025366, 0.2822160737414401, 0.32534330271830625]",4.551852243644767,4.551852243644766,0.9999999999999998,,,
61,random,10,3,0,func-random_n-10_d-3,"[0.19504886628307957, 0.41606649674999285, 0.38888463877307483]","[0.18352262805694833, 0.4386979878609405, 0.3777793840821112]",2.7881422693373743,2.827756815305814,1.0142082225875275,,,
62,random,10,3,0,func-random_n-10_d-3,"[0.3202894805188305, 0.3257488212316156, 0.35396169825069684]","[0.3054745933822284, 0.340905370189801, 0.35362003642797063]",3.5820215062259497,3.626384279885575,1.0123848429113331,,,
63,random,10,3,0,func-random_n-10_d-3,"[0.3726095283309928, 0.3224856616928265, 0.304904812333275]","[0.3397944701332324, 0.3309485302215167, 0.32925699964525096]",3.4629698979288817,3.5801754972148645,1.0338453993943408,,,
64,random,10,3,0,func-random_n-10_d-3,"[0.3778478915010984, 0.385547465171168, 0.23660464606701492]","[0.3398892329626129, 0.356663866199154, 0.3034469008382331]",3.6549263440892172,3.902858913225837,1.0678351752662756,,,
65,random,10,3,0,func-random_n-10_d-3,"[0.3798012001318316, 0.25125086870812474, 0.3689479329735699]","[0.39072159214575947, 0.26624056324421264, 0.34303784461002795]",3.4569193977049486,3.5246797072436062,1.0196013565093949,,,
66,random,10,3,0,func-random_n-10_d-3,"[0.22047364271908249, 0.30816570498386425, 0.4713606551787001]","[0.25139210835494813, 0.3175070052022734, 0.43110088644277844]",4.7000008070092285,4.750482780077501,1.0107408434894283,,,
67,random,10,3,0,func-random_n-10_d-3,"[0.3156191543065563, 0.34753744189808977, 0.3368434039403421]","[0.3068635620577931, 0.3804726566588884, 0.3126637812833185]",3.451587326218026,3.5078549528326906,1.0163019565482987,,,
68,random,10,3,0,func-random_n-10_d-3,"[0.24011892407599125, 0.2306310079662945, 0.5292500681487077]","[0.2101490688717787, 0.26337025994170904, 0.5264806711865122]",4.350237599952997,4.415272114601271,1.0149496465776895,,,
69,random,10,3,0,func-random_n-10_d-3,"[0.32296748054811913, 0.24554608543341924, 0.43148643403852804]","[0.33445408853835457, 0.22010240922152785, 0.44544350224011764]",4.533405170959705,4.579268479893893,1.0101167460671685,,,
70,random,10,3,0,func-random_n-10_d-3,"[0.23759760191037582, 0.4112762170479453, 0.3511261811453561]","[0.3010023798346425, 0.3579477497414069, 0.34104987042395074]",4.374212976794881,4.559776969028731,1.0424222581795315,,,
71,random,10,3,0,func-random_n-10_d-3,"[0.3233533803878994, 0.29625173567429486, 0.38039488394726645]","[0.3448698741441972, 0.2788862075768176, 0.3762439182789853]",4.497890625178062,4.529705544337588,1.0070732976434407,,,
72,random,10,3,0,func-random_n-10_d-3,"[0.26624520056316553, 0.31099525851304066, 0.4227595409333633]","[0.28649653183967244, 0.3083819385753497, 0.4051215295849778]",3.5293588816908112,3.530813514015144,1.0004121520007156,,,
73,random,10,3,0,func-random_n-10_d-3,"[0.29240740012901967, 0.3608556492710285, 0.34673695132310833]","[0.27833214839916376, 0.38890406261131905, 0.33276378898951725]",3.0322490036953753,3.108736514637199,1.025224680047255,,,
74,random,10,3,0,func-random_n-10_d-3,"[0.3287265755050786, 0.3681449020628939, 0.30312852243406924]","[0.3661656328254688, 0.33935864197744964, 0.2944757251970815]",4.544229786473812,4.6246213819058895,1.0176909177593458,,,
75,random,10,3,0,func-random_n-10_d-3,"[0.2735506395785093, 0.2522633388933996, 0.47418602153403866]","[0.28376815731619376, 0.2635328727899674, 0.45269896989383873]",4.904588861262382,4.904588861262382,1.0,,,
76,random,10,3,0,func-random_n-10_d-3,"[0.3499377291728713, 0.388331090045755, 0.2617311807827779]","[0.32842220202457517, 0.4030478641222229, 0.268529933853202]",4.203336506665816,4.226710509785492,1.0055608212862825,,,
77,random,10,3,0,func-random_n-10_d-3,"[0.3557371093076247, 0.2122065203485311, 0.43205637040227685]","[0.32718985542717266, 0.2464963808256262, 0.4263137637472011]",3.63099070132949,3.7480523238446,1.0322395820160728,,,
78,random,10,3,0,func-random_n-10_d-3,"[0.3021430699970681, 0.3804708775059812, 0.3173860525260223]","[0.2975184228886306, 0.37874512725153575, 0.3237364498598336]",4.0121532498929815,4.012153249951125,1.000000000014492,,,
79,random,10,3,0,func-random_n-10_d-3,"[0.42220952805355655, 0.27099976605194703, 0.3067907058950733]","[0.3784695287652375, 0.34281378440847077, 0.2787166868262917]",3.540753072245362,3.7770867353812814,1.066746722607812,,,
80,random,10,3,0,func-random_n-10_d-3,"[0.36341787655902535, 0.3300123522257109, 0.3065697712215544]","[0.33880962023597805, 0.322672810037416, 0.33851756972660596]",3.7320237040794195,3.7599059134694657,1.0074710697468423,,,
81,random,10,3,0,func-random_n-10_d-3,"[0.2532882673619818, 0.31244351927930386, 0.434268213359363]","[0.251080007396242, 0.285075023103309, 0.4638449695004489]",4.114505358742866,4.253182382517151,1.0337044217185456,,,
82,random,10,3,0,func-random_n-10_d-3,"[0.23123114975831127, 0.4407222138815719, 0.32804663636132714]","[0.23034340424619054, 0.4403562050027453, 0.3293003907510642]",4.630991024987225,4.6309910249872255,1.0000000000000002,,,
83,random,10,3,0,func-random_n-10_d-3,"[0.35265452763920424, 0.3290085225694219, 0.3183369498421168]","[0.3250704851288971, 0.3115984212547259, 0.36333109361637705]",3.2360325044655123,3.323947324230437,1.0271674711683545,,,
84,random,10,3,0,func-random_n-10_d-3,"[0.3190954404193423, 0.3741842501033173, 0.30672031151662654]","[0.34691335057006883, 0.27938041923788215, 0.37370623019204907]",5.832218721832991,6.107567498813257,1.0472116685112467,,,
85,random,10,3,0,func-random_n-10_d-3,"[0.3400844547262741, 0.2990746607629862, 0.3608408861559393]","[0.3865159162710715, 0.270672454958249, 0.34281162877067944]",3.4428296593617382,3.5604113781813114,1.0341526390943696,,,
86,random,10,3,0,func-random_n-10_d-3,"[0.26058885824142225, 0.3860180547312782, 0.3533930871156623]","[0.27144767255056235, 0.35816453912161045, 0.37038778832782715]",3.284444699184376,3.380673305416824,1.0292982878525385,,,
87,random,10,3,0,func-random_n-10_d-3,"[0.4094098733337051, 0.28295614907931776, 0.30763397758865124]","[0.3720503686395175, 0.2821636345513966, 0.34578599680908584]",4.597821665673356,4.768611087696386,1.0371457256157015,,,
88,random,10,3,0,func-random_n-10_d-3,"[0.2701269836108798, 0.30045150026037204, 0.42942151612909657]","[0.30878097716413894, 0.25827565524076035, 0.43294336759510077]",4.293076375687359,4.414819876302676,1.0283581026661388,,,
89,random,10,3,0,func-random_n-10_d-3,"[0.42588649139292156, 0.2566588114502968, 0.31745469742140753]","[0.39971062529306356, 0.3063793425621135, 0.293910032144823]",4.059727626950181,4.270972957680029,1.052034360464853,,,
90,random,10,3,0,func-random_n-10_d-3,"[0.3130244385921736, 0.25853753495325954, 0.4284380264589904]","[0.2808454649334472, 0.31485929935632206, 0.40429523571023074]",3.8539685400107446,4.014623452411013,1.0416855796129099,,,
91,random,10,3,0,func-random_n-10_d-3,"[0.3331302097603925, 0.39936095331132027, 0.2675088369288006]","[0.3295698509082336, 0.3635560153674387, 0.3068741337243277]",2.8943777914538726,2.970260427893593,1.0262172535540373,,,
92,random,10,3,0,func-random_n-10_d-3,"[0.24525439427342538, 0.43113337368934024, 0.3236122326808039]","[0.2588090540692296, 0.3946948013600684, 0.34649614457070194]",4.288681895005119,4.379351605271026,1.0211416263751123,,,
93,random,10,3,0,func-random_n-10_d-3,"[0.2824947863980798, 0.26930302319763927, 0.44820219046612175]","[0.27611134007512256, 0.2967999019977015, 0.4270887579271759]",3.990170080749165,4.018688676186926,1.007147212991083,,,
94,random,10,3,0,func-random_n-10_d-3,"[0.2864399872197233, 0.28184806749939373, 0.4317119452823695]","[0.2829587629836139, 0.30430493139612647, 0.41273630562025965]",2.8959623248461277,2.945049438011297,1.0169501905270046,,,
95,random,10,3,0,func-random_n-10_d-3,"[0.22868727579658488, 0.5409179631795483, 0.23039476104582782]","[0.2555544554429833, 0.47994346183573977, 0.26450208272127684]",4.964144798743432,5.075470410991947,1.0224259397664417,,,
96,random,10,3,0,func-random_n-10_d-3,"[0.4291463813707045, 0.3029831606323762, 0.2678704580001205]","[0.419973434054307, 0.3168755679638843, 0.26315099798180863]",5.1812958396124404,5.181295839606038,0.9999999999987642,,,
97,random,10,3,0,func-random_n-10_d-3,"[0.3233496338860083, 0.36210413225870675, 0.3145462338647488]","[0.3505319706283062, 0.3643061414261104, 0.2851618879455834]",3.9523616522311396,4.043121862036621,1.0229635387121638,,,
98,random,10,3,0,func-random_n-10_d-3,"[0.5325287685623977, 0.18144090786472344, 0.2860303236001404]","[0.5134983566644538, 0.1773560600106448, 0.3091455833249014]",3.822149513616007,3.862160949166193,1.0104683072725569,,,
99,random,10,3,0,func-random_n-10_d-3,"[0.3222294589771624, 0.3771701975114792, 0.30060034351229603]","[0.28936440863705093, 0.3559750084085545, 0.35466058295439457]",5.045664607290918,5.153763003369007,1.0214240153659615,,,
100,random,10,3,0,func-random_n-10_d-3,"[0.33017430608845627, 0.39697792334485105, 0.2728477721636783]","[0.3308841806557382, 0.37945940953167556, 0.2896564098125861]",2.966582446229962,3.019854949448028,1.0179575333514719,,,
101,random,10,3,0,func-random_n-10_d-3,"[0.30967256979008895, 0.3293447694162277, 0.36098266081934755]","[0.33402106974250484, 0.303970655824863, 0.3620082744326322]",3.441956444779466,3.497988436173865,1.0162791111082723,,,
102,random,10,3,0,func-random_n-10_d-3,"[0.28188557427288974, 0.3992638767964977, 0.31885054894763304]","[0.2901262501472441, 0.39031609328498085, 0.319557656567775]",4.683030741098945,4.68845465135079,1.00115820513503,,,
103,random,10,3,0,func-random_n-10_d-3,"[0.2975579990589949, 0.40606863554626554, 0.29637336543048654]","[0.30131582861185036, 0.39463133825827235, 0.3040528331298772]",4.418627969732205,4.418627969732204,0.9999999999999998,,,
104,random,10,3,0,func-random_n-10_d-3,"[0.33285316894068756, 0.31149511672060465, 0.3556517144922704]","[0.3217039156433439, 0.3184047664091796, 0.3598913179474766]",3.013336371806457,3.0186543198849223,1.0017648039987244,,,
105,random,10,3,0,func-random_n-10_d-3,"[0.30586512037928065, 0.3117742369006583, 0.38236064481009946]","[0.30376548699093486, 0.3161693019035649, 0.3800652111055002]",4.588947361484183,4.588947361484183,1.0,,,
106,random,10,3,0,func-random_n-10_d-3,"[0.3122687902225158, 0.3582193838799771, 0.3295118261850211]","[0.28977047167554654, 0.4000800547273459, 0.3101494735971076]",4.789934740709633,4.860327312167884,1.0146959353871745,,,
107,random,10,3,0,func-random_n-10_d-3,"[0.33927664274430464, 0.43003425206294876, 0.2306891053233525]","[0.3336295203080404, 0.43879743033470797, 0.2275730493572517]",4.372339253912127,4.372339253912126,0.9999999999999998,,,
108,random,10,3,0,func-random_n-10_d-3,"[0.4323526656011001, 0.34861047440586496, 0.21903685999587408]","[0.4092028567399317, 0.34376274679040975, 0.24703439646965858]",5.216199049663188,5.272194122608594,1.0107348420588018,,,
109,random,10,3,0,func-random_n-10_d-3,"[0.2713846636215347, 0.3615730262234025, 0.3670423101674467]","[0.24819468071793102, 0.3833215462250511, 0.36848377305701796]",4.282149688504399,4.3278583184373955,1.0106742251574492,,,
110,random,10,3,0,func-random_n-10_d-3,"[0.32876386333091034, 0.2916005068559648, 0.3796356298134931]","[0.32409073493658674, 0.2948694994356234, 0.38103976562778985]",4.26054699920026,4.266957163470808,1.001504540208511,,,
111,random,10,3,0,func-random_n-10_d-3,"[0.3262875905403211, 0.42425043295662446, 0.2494619766692624]","[0.3441825094869419, 0.37283523610074987, 0.2829822544123082]",3.153009791148909,3.312572463041734,1.0506064625427893,,,
112,random,10,3,0,func-random_n-10_d-3,"[0.24471874400308863, 0.38339580154609826, 0.371885454593234]","[0.2698918786733717, 0.39790290283161156, 0.33220521849501666]",4.382960562470505,4.454991733174697,1.0164343643246452,,,
113,random,10,3,0,func-random_n-10_d-3,"[0.292974080208037, 0.4195779458590413, 0.2874479739331647]","[0.31144835570378043, 0.39040529528959766, 0.29814634900662185]",4.716150614388493,4.739879415427292,1.0050313916961016,,,
