func,n,d,n_clusters,noise,weights,centers,dataset_num,title,optimal,mean,optimal_sc,mean_sc,distortion
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.06755409518434019, 0.9002639482122452, 0.032181956607423554]","[0.2233526917922006, 0.565616221635884, 0.21103108657191558]",39.40718315962388,50.49200787271898,1.2812894458402315
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.059955074808514246, 0.9056926213695321, 0.03435230388053259]","[0.21722905201688497, 0.5721021164356256, 0.21066883154748944]",40.03923738668767,50.98779509165795,1.2734457102474805
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.03705363975330409, 0.8913867551252694, 0.07155960515325041]","[0.20711972612598945, 0.5655338797257717, 0.22734639414823882]",39.34125738086598,49.73681487693514,1.2642406010420284
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.058117285616228816, 0.8907572438100276, 0.05112547319623473]","[0.21198034734497107, 0.5736984376962629, 0.214321214958766]",39.23717931024332,49.807483216073656,1.2693951015757863
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05582979991800738, 0.8898181710850827, 0.05435202908176374]","[0.21971162058536486, 0.5669577364547232, 0.21333064295991175]",39.5282935296234,50.278070840849374,1.2719514644154788
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.07221812342130532, 0.8905352002379365, 0.03724667644569723]","[0.22703138104887344, 0.5683848612819447, 0.20458375766918205]",38.86833424563784,49.87286991530415,1.2831234186708513
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.032903387923737, 0.9150288572611283, 0.05206775486336904]","[0.20910330224498158, 0.5771218919743866, 0.2137748057806318]",39.4271462420952,50.610224156760985,1.283639040117135
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04860586672447663, 0.9005869149821392, 0.05080721829872179]","[0.20994668302020592, 0.5721989817967997, 0.21785433518299438]",39.13791346385015,50.1261358587541,1.2807564691728714
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04475200391331307, 0.898804373554523, 0.056443622663225175]","[0.2092459103931125, 0.5693686976855996, 0.22138539192128764]",39.57796132312586,50.51239958622147,1.2762759348270545
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05027544989326575, 0.9067109589527765, 0.04301359116196433]","[0.21653022085694723, 0.5695338229965271, 0.2139359561465258]",39.09782815516201,49.98176392362659,1.278376991306807
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.038581361668372643, 0.8975632111222516, 0.06385542721112317]","[0.20566240086268894, 0.5769056237637882, 0.217431975373523]",38.7935666552329,49.374568449837994,1.2727514561535633
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05209912932467906, 0.9098980449995392, 0.038002826200112]","[0.2129029713834653, 0.576456227270214, 0.21064080134632057]",39.200442290864096,50.10813318639177,1.278254281280642
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04466827700247228, 0.898154867138769, 0.057176856433859155]","[0.20696860193641398, 0.5684467923842084, 0.22458460567937763]",38.9434541863327,49.6557138842425,1.2750721506791582
